asset.name;id;output
p489544;0104ed78-7176-4d81-b799-e3d2879a0447;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p483680;01ae2ef9-4930-4c85-80f7-ee8ddd48190c;
;" ";"C$\Program Files\Microsoft SQL Server\150\DTS\Extensions\Common\Jars\log4j-1.2.17.jar"
p485244;02a536a8-6124-49c3-988b-d3408e4be14b;
;" ";"D$\CargaBase\lib\cargabasebusiness-9.7RC.jar"
;" ";"D$\CargaBase\lib\cargabasepersistence_6.2RC.jar"
p488975;02e62880-2e08-458c-82b5-910d44ca219b;
;" ";"C$\APL\SIGEP WEB\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p487433;02eed933-a7cb-4ee6-9c20-908434007b61;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"D$\Talita\PDF Split And Merge\lib\log4j-1.2.15.jar"
p524156;04286229-bb7c-4974-aeea-92eeae2b2484;
;" ";"E$\Servi - Copel\Unidade D\Henrique - 49478\Pessoal\Softwares Portable\CmapTools Portable\App\CmapTools\classes\log4j-1.2.12.jar"
p030183;061232b8-d048-40a5-a19c-7ffe1f569041;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p523958;06e69ccc-d476-4f72-beba-33830b4314f4;
;" ";"C$\Program Files (x86)\Common Files\MicroStrategy\HealthCenter\jars\log4j-1.2.15.jar"
;" ";"C$\Program Files (x86)\MicroStrategy\Messaging Services\Kafka\kafka_2.11-0.10.1.0\libs\log4j-1.2.17.jar"
p482633;079c7b5e-3235-4553-b85f-87707e2a7bd8;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p482834;08326bb9-4b30-4918-8cc8-32bf4819e860;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p488796;098f6f1c-ca45-469b-a10f-189aff9b5f34;
;" ";"D$\NOVO_SASE_NãoPodeApagar\SASE_NãoPodeApagar_7.2.0-alfa1\EditorSASE_NãoPodeApagar-7.2.0-alfa1\lib\log4j-1.2.17.jar"
p485244;09dfbed2-903f-4827-9053-408346bc15de;
;" ";"D$\CargaBase\lib\cargabasebusiness-9.7RC.jar"
;" ";"D$\CargaBase\lib\cargabasepersistence_6.2RC.jar"
p487339;0e65ad14-248c-4e49-b208-95a4b3ab37b5;
;" ";"D$\SASE_NãoPodeApagar 7\SASE_NãoPodeApagar_7.0.0\SASE_NãoPodeApagar_7.0.0\EditorSASE_NãoPodeApagar-7.0.0\lib\log4j-1.2.17.jar"
;" ";"D$\SASE_NãoPodeApagar\Executaveis\6.x.x.x\6.5.0.0\SDG\1.2.0\Editor\EditorSDG-1.4.2\lib\log4j-1.2.13.jar"
p520866;0ecdb150-2e7b-41ef-b2e7-a6bd028659e7;
;" ";"C$\Users\c047437\.m2\repository\org\apache\logging\log4j\log4j-core\2.13.0\log4j-core-2.13.0.jar"
p519534;10167e1f-b74b-4bb8-924d-290ee808b66f;
;" ";"C$\Program Files\BRy Tecnologia\BRy Signer Desktop\.data\.lib\log4j-core-2.3.jar"
  Installed version : 2.3
  Fixed version     : 2.3.2
p485245;10729434-7911-49d1-907a-a0573af11985;
;" ";"C$\Cepel\Anarede\V110700\lib\java\log4j-1.2.14.jar"
p485245;10d6a050-4b34-43da-860b-70a0bcff6699;
;" ";"D$\Carga Base\CargaBase\lib\cargabasebusiness-9.7RC.jar"
;" ";"D$\Carga Base\CargaBase\lib\cargabasepersistence_6.2RC.jar"
;" ";"D$\Carga Base\CargaBase\lib\log4j-core-2.11.1.jar"
p487333;10e2ef7d-c222-47da-b234-80d8b392d8af;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p489566;123579fc-089c-41e5-a960-ba9896fb6643;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p522425;12770ff7-ed59-4e72-a849-819866bd0a85;
;" ";"C$\Users\c043054\Desktop\SASE_NãoPodeApagar_7.1.0\EditorSASE_NãoPodeApagar-7.1.0\lib\log4j-1.2.17.jar"
;" ";"E$\Automação\Curso de Padronização\Ades3.0.0rc2-AULA\ades_lib\log4j-1.2.13.jar"
;" ";"E$\Automação\SASE_NãoPodeApagar_7.0.2\EditorSASE_NãoPodeApagar-7.0.2\lib\log4j-1.2.17.jar"
;" ";"E$\Automação\SASE_NãoPodeApagar_7.0.3\EditorSASE_NãoPodeApagar-7.0.3\lib\log4j-1.2.17.jar"
;" ";"E$\Automação\SASE_NãoPodeApagar_7.0.4\EditorSASE_NãoPodeApagar-7.0.4\lib\log4j-1.2.17.jar"
p474345;14e82cc6-8562-4a33-85ec-a89d34e4af86;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p489213;176bb25c-b8e3-4d2b-ba5e-c3ea735aaf43;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p489266;17aa76cb-6382-410d-bd59-ff1de33914b2;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p030101;1942dded-b239-487b-9bbc-75e050e61b3f;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"D$\SIGEP\sigepclient\sigepcliente\lib\log4j-1.2.16.jar"
p488919;1a0521cb-b6dd-4bb6-90d6-d245784e420b;
;" ";"D$\Sinap-Coisas\CargaBase\lib\cargabasebusiness-9.7RC.jar"
;" ";"D$\Sinap-Coisas\CargaBase\lib\cargabasepersistence_6.2RC.jar"
;" ";"D$\Sinap-Coisas\CargaBase\lib\log4j-core-2.11.1.jar"
p482835;1ae198ff-bdf5-4355-969d-22b70087ebd4;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p485254;1b5bb684-5c54-4271-8189-81ec2de75805;
;" ";"C$\Users\e805714\Desktop\CargaBase\lib\cargabasebusiness-9.7RC.jar"
;" ";"C$\Users\e805714\Desktop\CargaBase\lib\cargabasepersistence_6.2RC.jar"
;" ";"D$\Egrid_CargaBase\CargaBase_3.1\CargaBase\lib\cargabasebusiness-9.7RC.jar"
