asset.name;id;output
p489544;0104ed78-7176-4d81-b799-e3d2879a0447;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p483680;01ae2ef9-4930-4c85-80f7-ee8ddd48190c;
;" ";"C$\Program Files\Microsoft SQL Server\150\DTS\Extensions\Common\Jars\log4j-1.2.17.jar"
p485244;02a536a8-6124-49c3-988b-d3408e4be14b;
;" ";"D$\CargaBase\lib\cargabasebusiness-9.7RC.jar"
;" ";"D$\CargaBase\lib\cargabasepersistence_6.2RC.jar"
p488975;02e62880-2e08-458c-82b5-910d44ca219b;
;" ";"C$\APL\SIGEP WEB\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
p487433;02eed933-a7cb-4ee6-9c20-908434007b61;
;" ";"C$\APL\SigepWEB_NãoPodeApagar\Bkp\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"C$\APL\SigepWEB_NãoPodeApagar\sigepcliente\lib\log4j-1.2.16.jar"
;" ";"D$\Talita\PDF Split And Merge\lib\log4j-1.2.15.jar"
p524156;04286229-bb7c-4974-aeea-92eeae2b2484;
;" ";"E$\Servi - Copel\Unidade D\Henrique - 49478\Pessoal\Softwares Portable\CmapTools Portable\App\CmapTools\classes\log4j-1.2.12.jar"
