asset.name,id,output
p483554,1b43e413-e7a3-44a5-b248-e173cacd2f67,"'
  Path              : D:\2 CargaBase_3.1\CargaBase_3.1\CargaBase\lib\cargabasebusiness-9.7RC.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.2



  Path              : D:\2 CargaBase_3.1\CargaBase_3.1\CargaBase\lib\cargabasepersistence_6.2RC.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.2



  Path              : D:\2 CargaBase_3.1\CargaBase_3.1\CargaBase\lib\log4j-core-2.11.1.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.2
"
p473949,2088b8d0-cc0c-4226-9804-af8d71f57e39,"'
  Path              : D:\Softwares\On Guard LENEL\V8\ISO\Windows\Temp\JReport\Lenel\integration-dependencies\log4j-core-2.11.2.jar
  Installed version : 2.11.2
  Fixed version     : 2.12.2



  Path              : D:\Softwares\On Guard LENEL\V8\ISO\Windows\Temp\JReport\Server\lib\log4j-core-2.11.2.jar
  Installed version : 2.11.2
  Fixed version     : 2.12.2
"
p485249,31ae36e0-df9c-42d8-9547-552812eb1ac1,"'
  Path              : C:\Carga Base\CargaBase_3.1\CargaBase\lib\cargabasebusiness-9.7RC.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.2



  Path              : C:\Carga Base\CargaBase_3.1\CargaBase\lib\cargabasepersistence_6.2RC.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.2



  Path              : C:\Carga Base\CargaBase_3.1\CargaBase\lib\log4j-core-2.11.1.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.2
"
p487097,3468d0e8-349b-4d8a-b749-74fc07179b7a,"'
  Path              : C:\Program Files (x86)\ACL Software\ACL for Windows 14\ACL App\lib\log4j-core-2.8.2.jar
  Installed version : 2.8.2
  Fixed version     : 2.12.2
"
p469871,3f7c6576-afe9-48e7-a3ff-1b65c538eab6,"'
  Path              : D:\2021\carga base\CargaBase\lib\cargabasebusiness-9.7RC.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.2



  Path              : D:\2021\carga base\CargaBase\lib\cargabasepersistence_6.2RC.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.2



  Path              : D:\2021\carga base\CargaBase\lib\log4j-core-2.11.1.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.2
"
p483554,646d06ef-e938-4b35-924f-c2362e82f964,"'
  Path              : D:\2 CargaBase_3.1\CargaBase_3.1\CargaBase\lib\cargabasebusiness-9.7RC.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.2



  Path              : D:\2 CargaBase_3.1\CargaBase_3.1\CargaBase\lib\cargabasepersistence_6.2RC.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.2



  Path              : D:\2 CargaBase_3.1\CargaBase_3.1\CargaBase\lib\log4j-core-2.11.1.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.2
"
p469968,690b6fd2-f8f5-46ce-9e4e-6feef26e14bd,"'
  Path              : C:\Program Files\TIBCO\Jaspersoft Studio Professional-7.5.0\jrio\jrio\WEB-INF\lib\log4j-core-2.8.2.jar
  Installed version : 2.8.2
  Fixed version     : 2.12.2
"
p488917,6db62bd6-b0a0-42f4-90cc-cf61a917cb40,"'
  Path              : D:\CargaBase_3.1\CargaBase\lib\cargabasebusiness-9.7RC.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.2



  Path              : D:\CargaBase_3.1\CargaBase\lib\cargabasepersistence_6.2RC.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.2



  Path              : D:\CargaBase_3.1\CargaBase\lib\log4j-core-2.11.1.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.2
"
p030329,87443830-4dae-448d-9ab6-bc6ce9d74feb,"'
  Path              : C:\APL\OMNI\BAT\PRD\CargaLeitura\app\libs\log4j-core-2.8.2.jar
  Installed version : 2.8.2
  Fixed version     : 2.12.2
"
p469871,90b9180e-5082-4417-bf3d-6ad9712052f8,"'
  Path              : D:\2021\carga base\CargaBase\lib\cargabasebusiness-9.7RC.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.2



  Path              : D:\2021\carga base\CargaBase\lib\cargabasepersistence_6.2RC.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.2



  Path              : D:\2021\carga base\CargaBase\lib\log4j-core-2.11.1.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.2
"
